Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Correspondence Address,Document Type,Source
"Yu P.-H.V., Wun Y.-C., Yung S.-H.P.","Role of Physiotherapy in Preventing Failure of Primary Anterior Cruciate Ligament Reconstruction: 首次前十字韌帶重建手術後物理治療所扮演的角色",2017,"Journal of Orthopaedics, Trauma and Rehabilitation","22",,,"6","12",,,10.1016/j.jotr.2015.12.003,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988409795&partnerID=40&md5=c900de5b8dacd2a6080227b955f13ec0","Department of Orthopaedics and Traumatology, Tuen Mun Hospital, Hong Kong; Arthroscopy and Sports Medicine Service, Department of Orthopaedics and Traumatology, Prince of Wales Hospital, Hong Kong; Department of Orthopaedics and Traumatology, The Chinese University of Hong Kong, Hong Kong","Yu, P.-H.V., Department of Orthopaedics and Traumatology, Tuen Mun Hospital, Hong Kong; Wun, Y.-C., Department of Orthopaedics and Traumatology, Tuen Mun Hospital, Hong Kong; Yung, S.-H.P., Arthroscopy and Sports Medicine Service, Department of Orthopaedics and Traumatology, Prince of Wales Hospital, Hong Kong, Department of Orthopaedics and Traumatology, The Chinese University of Hong Kong, Hong Kong","Yu, P.-H.V.; Department of Orthopaedics and Traumatology, Tuen Mun HospitalHong Kong; email: vinman85@gmail.com",Article,Scopus
"Gravina R., Alinia P., Ghasemzadeh H., Fortino G.","Multi-sensor fusion in body sensor networks: State-of-the-art and research challenges",2017,"Information Fusion","35",,,"1339","1351",,,10.1016/j.inffus.2016.09.005,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988027649&partnerID=40&md5=0efcc8ef434eca7b1bd7e05e56bb5223","Department of Informatics, Modeling, Electronics and Systems (DIMES), University of Calabria, Via P. Bucci, 87036 Rende (CS), Italy; School of Electrical Engineering and Computer Science, Washington State University, Pullman, WA, 99164-2752, United States","Gravina, R., Department of Informatics, Modeling, Electronics and Systems (DIMES), University of Calabria, Via P. Bucci, 87036 Rende (CS), Italy; Alinia, P., School of Electrical Engineering and Computer Science, Washington State University, Pullman, WA, 99164-2752, United States; Ghasemzadeh, H., School of Electrical Engineering and Computer Science, Washington State University, Pullman, WA, 99164-2752, United States; Fortino, G., Department of Informatics, Modeling, Electronics and Systems (DIMES), University of Calabria, Via P. Bucci, 87036 Rende (CS), Italy","Gravina, R.; Department of Informatics, Modeling, Electronics and Systems (DIMES), University of Calabria, Via P. Bucci, 87036 Rende (CS), Italy; email: rgravina@dimes.unical.it",Article,Scopus
"Qiu S., Liu J., Shi Y., Zhang R.","Hidden policy ciphertext-policy attribute-based encryption with keyword search against keyword guessing attack",2017,"Science China Information Sciences","60","5", 052105,"","",,,10.1007/s11432-015-5449-9,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988373339&partnerID=40&md5=10c13b62903644c5580dc185fd647cf9","School of Computer and Information Technology, Beijing Jiaotong University, Beijing, China; State Key Laboratory of Information Security, Institute of Information Engineering, Chinese Academy of Sciences, Beijing, China","Qiu, S., School of Computer and Information Technology, Beijing Jiaotong University, Beijing, China; Liu, J., School of Computer and Information Technology, Beijing Jiaotong University, Beijing, China; Shi, Y., School of Computer and Information Technology, Beijing Jiaotong University, Beijing, China; Zhang, R., State Key Laboratory of Information Security, Institute of Information Engineering, Chinese Academy of Sciences, Beijing, China","Qiu, S.; School of Computer and Information Technology, Beijing Jiaotong UniversityChina; email: qiushuo@bjtu.edu.cn",Article,Scopus
"Ding Y., Wei T., Xue H., Zhang Y., Zhang C., Han X.","Accurate and efficient exploit capture and classification",2017,"Science China Information Sciences","60","5", 052110,"","",,,10.1007/s11432-016-5521-0,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988428034&partnerID=40&md5=2e3bf51655b4e285106087bf6e8b99aa","Institute of Computer Science and Technology, Peking University, Beijing, China; Eletrical Engineering and Computer Sciences, UC Berkeley, Berkeley, CA, United States","Ding, Y., Institute of Computer Science and Technology, Peking University, Beijing, China; Wei, T., Eletrical Engineering and Computer Sciences, UC Berkeley, Berkeley, CA, United States; Xue, H., Eletrical Engineering and Computer Sciences, UC Berkeley, Berkeley, CA, United States; Zhang, Y., Eletrical Engineering and Computer Sciences, UC Berkeley, Berkeley, CA, United States; Zhang, C., Eletrical Engineering and Computer Sciences, UC Berkeley, Berkeley, CA, United States; Han, X., Institute of Computer Science and Technology, Peking University, Beijing, China","Han, X.; Institute of Computer Science and Technology, Peking UniversityChina; email: hanxinhui@pku.edu.cn",Article,Scopus
"Dai Y., Chen S.","Cryptanalysis of full PRIDE block cipher",2017,"Science China Information Sciences","60","5", 052108,"","",,,10.1007/s11432-015-5487-3,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988416314&partnerID=40&md5=9d7697cffd3de46c94dddb223c288cb0","State Key Laboratory of Mathematical Engineering and Advanced Computing, Zhengzhou, China; Zhengzhou Information Science and Technology Institute, Zhengzhou, China","Dai, Y., State Key Laboratory of Mathematical Engineering and Advanced Computing, Zhengzhou, China, Zhengzhou Information Science and Technology Institute, Zhengzhou, China; Chen, S., State Key Laboratory of Mathematical Engineering and Advanced Computing, Zhengzhou, China, Zhengzhou Information Science and Technology Institute, Zhengzhou, China","Dai, Y.; State Key Laboratory of Mathematical Engineering and Advanced ComputingChina; email: dybin321@163.com",Article,Scopus
"Fang Z., Liu Q., Zhang Y., Wang K., Wang Z., Wu Q.","A static technique for detecting input validation vulnerabilities in Android apps",2017,"Science China Information Sciences","60","5", 052111,"","",,,10.1007/s11432-015-5422-7,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988354940&partnerID=40&md5=e838a7f899e2d14f85b21ebb832d2010","National Computer Network Intrusion Protection Center, University of Chinese Academy of Sciences, Beijing, China; National Computer Network Emergency Response Technical Team/Coordination Center of China, Beijing, China; Beijing Electronic Science and Technology Institute, Beijing, China; State Key Laboratory of Information Security, Institute of Information Engineering, Chinese Academy of Sciences, Beijing, China","Fang, Z., National Computer Network Intrusion Protection Center, University of Chinese Academy of Sciences, Beijing, China, National Computer Network Emergency Response Technical Team/Coordination Center of China, Beijing, China; Liu, Q., National Computer Network Intrusion Protection Center, University of Chinese Academy of Sciences, Beijing, China, State Key Laboratory of Information Security, Institute of Information Engineering, Chinese Academy of Sciences, Beijing, China; Zhang, Y., National Computer Network Intrusion Protection Center, University of Chinese Academy of Sciences, Beijing, China; Wang, K., National Computer Network Intrusion Protection Center, University of Chinese Academy of Sciences, Beijing, China; Wang, Z., Beijing Electronic Science and Technology Institute, Beijing, China; Wu, Q., National Computer Network Intrusion Protection Center, University of Chinese Academy of Sciences, Beijing, China","Zhang, Y.; National Computer Network Intrusion Protection Center, University of Chinese Academy of SciencesChina; email: zhangyq@ucas.ac.cn",Article,Scopus
"Bankole F.O., Bankole O.O.","The effects of cultural dimension on ICT innovation: Empirical analysis of mobile phone services",2017,"Telematics and Informatics","34","2",,"490","505",,,10.1016/j.tele.2016.08.004,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84983485995&partnerID=40&md5=fe1f51d337d8089e1538035ee6d6fb33","School of Computing, University of South Africa, South Africa; Management College of South Africa, Cape Town, South Africa; Computer Science, University of the Western Cape, South Africa","Bankole, F.O., School of Computing, University of South Africa, South Africa; Bankole, O.O., Management College of South Africa, Cape Town, South Africa, Computer Science, University of the Western Cape, South Africa","Bankole, F.O.; School of Computing, University of South AfricaSouth Africa; email: Olu.bankole@gmail.com",Article,Scopus
"Wu F., Huang Y., Yuan Z.","Domain-specific sentiment classification via fusing sentiment knowledge from multiple sources",2017,"Information Fusion","35",,,"26","37",,,10.1016/j.inffus.2016.09.001,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84986000584&partnerID=40&md5=6160472097e9c20ba3f6acde4d867691","Department of Electronic Engineering, Tsinghua University, Beijing 100084, China; Tsinghua National Laboratory for Information Science and Technology, Tsinghua University, China","Wu, F., Department of Electronic Engineering, Tsinghua University, Beijing 100084, China, Tsinghua National Laboratory for Information Science and Technology, Tsinghua University, China; Huang, Y., Department of Electronic Engineering, Tsinghua University, Beijing 100084, China, Tsinghua National Laboratory for Information Science and Technology, Tsinghua University, China; Yuan, Z., Department of Electronic Engineering, Tsinghua University, Beijing 100084, China, Tsinghua National Laboratory for Information Science and Technology, Tsinghua University, China","Wu, F.; Department of Electronic Engineering, Tsinghua University, Beijing 100084, China; email: wfz12@mails.tsinghua.edu.cn",Article,Scopus
"Li J., Song N., Yang G., Li M., Cai Q.","Improving positioning accuracy of vehicular navigation system during GPS outages utilizing ensemble learning algorithm",2017,"Information Fusion","35",,,"1","10",,,10.1016/j.inffus.2016.08.001,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84983448668&partnerID=40&md5=422bb84db6e7fd15bb2463557e9f6c6c","School of Instrumentation Science and Opto-electronics Engineering, Beihang University, Beijing, China","Li, J., School of Instrumentation Science and Opto-electronics Engineering, Beihang University, Beijing, China; Song, N., School of Instrumentation Science and Opto-electronics Engineering, Beihang University, Beijing, China; Yang, G., School of Instrumentation Science and Opto-electronics Engineering, Beihang University, Beijing, China; Li, M., School of Instrumentation Science and Opto-electronics Engineering, Beihang University, Beijing, China; Cai, Q., School of Instrumentation Science and Opto-electronics Engineering, Beihang University, Beijing, China","Li, J.; School of Instrumentation Science and Opto-electronics Engineering, Beihang UniversityChina; email: lijing0408220@163.com",Article,Scopus
"Slanzi G., Balazs J.A., Velásquez J.D.","Combining eye tracking, pupil dilation and EEG analysis for predicting web users click intention",2017,"Information Fusion","35",,,"51","57",,,10.1016/j.inffus.2016.09.003,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84987974432&partnerID=40&md5=857af0141cbe845b0ecacf94a2733897","Department of Industrial Engineering, School of Engineering and Science, Universidad de Chile, Av. Beauchef 851, East Tower, Santiago, Chile","Slanzi, G., Department of Industrial Engineering, School of Engineering and Science, Universidad de Chile, Av. Beauchef 851, East Tower, Santiago, Chile; Balazs, J.A., Department of Industrial Engineering, School of Engineering and Science, Universidad de Chile, Av. Beauchef 851, East Tower, Santiago, Chile; Velásquez, J.D., Department of Industrial Engineering, School of Engineering and Science, Universidad de Chile, Av. Beauchef 851, East Tower, Santiago, Chile","Velásquez, J.D.; Department of Industrial Engineering, School of Engineering and Science, Universidad de Chile, Av. Beauchef 851, East Tower, Santiago, Chile; email: jvelasqu@dii.uchile.cl",Article,Scopus
"Yang B., Liu C., Zheng W., Liu S.","Motion prediction via online instantaneous frequency estimation for vision-based beating heart tracking",2017,"Information Fusion","35",,,"58","67",,,10.1016/j.inffus.2016.09.004,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988024362&partnerID=40&md5=007245cf311b6b94c5e125b6605c1a1b","School of Automation Engineering, University of Electronic Science and Technology of China, ChengDu, China; LIRMM, UMR 5506, CNRS-UM, Montpellier, France","Yang, B., School of Automation Engineering, University of Electronic Science and Technology of China, ChengDu, China; Liu, C., LIRMM, UMR 5506, CNRS-UM, Montpellier, France; Zheng, W., School of Automation Engineering, University of Electronic Science and Technology of China, ChengDu, China; Liu, S., School of Automation Engineering, University of Electronic Science and Technology of China, ChengDu, China","Yang, B.; School of Automation Engineering, University of Electronic Science and Technology of ChinaChina; email: boyang@uestc.edu.cn",Article,Scopus
"Cheng J.W., Mitomo H.","The underlying factors of the perceived usefulness of using smart wearable devices for disaster applications",2017,"Telematics and Informatics","34","2",,"528","539",,,10.1016/j.tele.2016.09.010,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988640166&partnerID=40&md5=db3803552a69af0b48d5033f1619cfd6","Waseda Institute of Asia-Pacific Studies, Waseda University, Nishi-Waseda Bldg. 7F, 1-21-1 Nishi-Waseda, Shinjuku-ku, Tokyo, Japan; Graduate School of Asia-Pacific Studies, Waseda University, Nishi-Waseda Bldg. 7F, 1-21-1 Nishi-Waseda, Shinjuku-ku, Tokyo, Japan","Cheng, J.W., Waseda Institute of Asia-Pacific Studies, Waseda University, Nishi-Waseda Bldg. 7F, 1-21-1 Nishi-Waseda, Shinjuku-ku, Tokyo, Japan; Mitomo, H., Graduate School of Asia-Pacific Studies, Waseda University, Nishi-Waseda Bldg. 7F, 1-21-1 Nishi-Waseda, Shinjuku-ku, Tokyo, Japan","Cheng, J.W.; Waseda Institute of Asia-Pacific Studies, Waseda University, Nishi-Waseda Bldg. 7F, 1-21-1 Nishi-Waseda, Japan; email: cwljwc@aoni.waseda.jp",Article,Scopus
"Lu D., Ma J., Sun C., Ma X., Xi N.","Credit-based scheme for security-aware and fairness-aware resource allocation in cloud computing",2017,"Science China Information Sciences","60","5", 52103,"","",,,10.1007/s11432-015-5492-6,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988365987&partnerID=40&md5=4868e2459ed3c35c2a29b4513a247519","School of Computer Science, Xidian University, Xi’an, China","Lu, D., School of Computer Science, Xidian University, Xi’an, China; Ma, J., School of Computer Science, Xidian University, Xi’an, China; Sun, C., School of Computer Science, Xidian University, Xi’an, China; Ma, X., School of Computer Science, Xidian University, Xi’an, China; Xi, N., School of Computer Science, Xidian University, Xi’an, China","Lu, D.; School of Computer Science, Xidian UniversityChina; email: dlu@xidian.edu.cn",Article,Scopus
"Liu W.-Q., Wang X.-M., Deng Z.-L.","Robust centralized and weighted measurement fusion Kalman estimators for uncertain multisensor systems with linearly correlated white noises",2017,"Information Fusion","35",,,"11","25",,,10.1016/j.inffus.2016.08.002,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84983397291&partnerID=40&md5=10d1cd9d1136da2c40c56c518fb46b6a","Department of Automation, Electronic Engineering College, Heilongjiang University, Harbin, China; Computer and Information Engineering College, Heilongjiang University of Science and Technology, Harbin, China","Liu, W.-Q., Department of Automation, Electronic Engineering College, Heilongjiang University, Harbin, China, Computer and Information Engineering College, Heilongjiang University of Science and Technology, Harbin, China; Wang, X.-M., Department of Automation, Electronic Engineering College, Heilongjiang University, Harbin, China; Deng, Z.-L., Department of Automation, Electronic Engineering College, Heilongjiang University, Harbin, China","Deng, Z.-L.; Department of Automation, Electronic Engineering College, Heilongjiang UniversityChina; email: dzl@hlju.edu.cn",Article,Scopus
"Imani Giglou R., d'Haenens L., Ogan C.","Turkish diasporic responses to the Taksim Square protests: Legacy media and social media uses in Belgium, the Netherlands and Germany",2017,"Telematics and Informatics","34","2",,"548","559",,,10.1016/j.tele.2016.09.012,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988942614&partnerID=40&md5=f98cec9d78ac868075f54eeb57b99142","Institute for Media Studies, University of Leuven, Parkstraat 45, Bus 3603, Leuven, Belgium; School of Informatics and Computing, Indiana University, 535 W. Michigan Street, IT 475, Indianapolis, IN, United States","Imani Giglou, R., Institute for Media Studies, University of Leuven, Parkstraat 45, Bus 3603, Leuven, Belgium; d'Haenens, L., Institute for Media Studies, University of Leuven, Parkstraat 45, Bus 3603, Leuven, Belgium; Ogan, C., School of Informatics and Computing, Indiana University, 535 W. Michigan Street, IT 475, Indianapolis, IN, United States","Imani Giglou, R.; Institute for Media Studies, University of Leuven, Parkstraat 45, Bus 3603, Belgium; email: roya.imanigiglou@kuleuven.be",Article,Scopus
"Fortunati L., Taipale S.","Mobilities and the network of personal technologies: Refining the understanding of mobility structure",2017,"Telematics and Informatics","34","2",,"560","568",,,10.1016/j.tele.2016.09.011,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84989313059&partnerID=40&md5=8fc7d1c8837c8e42179e4334b4698794","University of Udine, Department of Humanities and Cultural Heritage, Vicolo Florio 2B, Udine, Italy; University of Jyvaskyla, Department of Social Sciences and Philosophy, Ylistonmaentie 33, PO Box 35, Jyvaskyla, Finland","Fortunati, L., University of Udine, Department of Humanities and Cultural Heritage, Vicolo Florio 2B, Udine, Italy; Taipale, S., University of Jyvaskyla, Department of Social Sciences and Philosophy, Ylistonmaentie 33, PO Box 35, Jyvaskyla, Finland","Fortunati, L.; University of Udine, Department of Humanities and Cultural Heritage, Vicolo Florio 2B, Italy; email: Leopoldina.Fortunati@uniud.it",Article,Scopus
"Diepens N.J., Koelmans A.A., Baveco H., van Den Brink P.J., van Den Heuvel-Greve M.J., Brock T.C.M.","Prospective environmental risk assessment for sediment-bound organic chemicals: A proposal for tiered effect assessment",2017,"Reviews of Environmental Contamination and Toxicology","239",,,"29","77",,,10.1007/398_2015_5004,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988982805&partnerID=40&md5=59df568fcae052ecd6f1ae6cd6a03636","Aquatic Ecology and Water Quality Management Group, Department of Environmental Sciences, Wageningen University, P.O. Box 47, Wageningen, Netherlands; Aquatic Ecology and Water Quality Management Group, Department of Environmental Sciences, Wageningen University, P.O. Box 47, Wageningen, Netherlands; IMARES, Institute for Marine Resources & Ecosystem Studies, Wageningen UR, P.O. Box 68, IJmuiden, Netherlands; Environmental Risk Assessment Team, Alterra, P.O. Box 47, Wageningen, Netherlands; Aquatic Ecology and Water Quality Management Group, Department of Environmental Sciences, Wageningen University, P.O. Box 47, Wageningen, Netherlands; Environmental Risk Assessment Team, Alterra, P.O. Box 47, Wageningen, Netherlands; IMARES, Institute for Marine Resources & Ecosystem Studies, Wageningen UR, P.O. Box 68, IJmuiden, Netherlands","Diepens, N.J., Aquatic Ecology and Water Quality Management Group, Department of Environmental Sciences, Wageningen University, P.O. Box 47, Wageningen, Netherlands; Koelmans, A.A., Aquatic Ecology and Water Quality Management Group, Department of Environmental Sciences, Wageningen University, P.O. Box 47, Wageningen, Netherlands, IMARES, Institute for Marine Resources & Ecosystem Studies, Wageningen UR, P.O. Box 68, IJmuiden, Netherlands; Baveco, H., Environmental Risk Assessment Team, Alterra, P.O. Box 47, Wageningen, Netherlands; van Den Brink, P.J., Aquatic Ecology and Water Quality Management Group, Department of Environmental Sciences, Wageningen University, P.O. Box 47, Wageningen, Netherlands, Environmental Risk Assessment Team, Alterra, P.O. Box 47, Wageningen, Netherlands; van Den Heuvel-Greve, M.J., IMARES, Institute for Marine Resources & Ecosystem Studies, Wageningen UR, P.O. Box 68, IJmuiden, Netherlands; Brock, T.C.M., Environmental Risk Assessment Team, Alterra, P.O. Box 47, Wageningen, Netherlands","Diepens, N.J.; Aquatic Ecology and Water Quality Management Group, Department of Environmental Sciences, Wageningen University, P.O. Box 47, Netherlands; email: noel.diepens@wur.nl",Review,Scopus
"Gibbons J.L.","Human Trafficking and Intercountry Adoption",2017,"Women and Therapy","40","1-2",,"170","189",,,10.1080/02703149.2016.1210965,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84989299195&partnerID=40&md5=ceb1356f8732bc982c87c78e389768b0","Department of Psychology, Saint Louis University, St. Louis, MO, United States","Gibbons, J.L., Department of Psychology, Saint Louis University, St. Louis, MO, United States","Gibbons, J.L.; Department of Psychology, Saint Louis University, 3700 Lindell Blvd., United States; email: gibbonsjl@slu.edu",Article,Scopus
